# vega universe v2 — built 2026-07-20
# migration from universe-v1: adds a `cluster` column (us_equity_beta |
# rates | commodities | crypto_beta) derived from the WI-084-parked
# risk.clusters RATES/COMMODITIES frozensets -- no membership changed,
# every other column is byte-identical to universe-v1.
# equities: S&P 500 + Nasdaq-100 (Wikipedia constituent snapshot, Yahoo symbol notation)
# etfs: curated liquid list
# filter (equity/etf): median 60-session dollar volume >= $20,000,000
# crypto: CoinGecko top-20 mcap, ex stable/wrapped, Binance USDT pair
symbol,asset_class,name,coingecko_id,binance_symbol,cluster
A,equity,Agilent Technologies,,,us_equity_beta
AAPL,equity,Apple Inc.,,,us_equity_beta
ABBV,equity,AbbVie,,,us_equity_beta
ABNB,equity,Airbnb,,,us_equity_beta
ABT,equity,Abbott Laboratories,,,us_equity_beta
ACGL,equity,Arch Capital Group,,,us_equity_beta
ACN,equity,Accenture,,,us_equity_beta
ADBE,equity,Adobe Inc.,,,us_equity_beta
ADI,equity,Analog Devices,,,us_equity_beta
ADM,equity,Archer Daniels Midland,,,us_equity_beta
ADP,equity,Automatic Data Processing,,,us_equity_beta
ADSK,equity,Autodesk,,,us_equity_beta
AEE,equity,Ameren,,,us_equity_beta
AEP,equity,American Electric Power,,,us_equity_beta
AES,equity,AES Corporation,,,us_equity_beta
AFL,equity,Aflac,,,us_equity_beta
AIG,equity,American International Group,,,us_equity_beta
AIZ,equity,Assurant,,,us_equity_beta
AJG,equity,Arthur J. Gallagher & Co.,,,us_equity_beta
AKAM,equity,Akamai Technologies,,,us_equity_beta
ALAB,equity,Astera Labs,,,us_equity_beta
ALB,equity,Albemarle Corporation,,,us_equity_beta
ALGN,equity,Align Technology,,,us_equity_beta
ALL,equity,Allstate,,,us_equity_beta
ALLE,equity,Allegion,,,us_equity_beta
ALNY,equity,Alnylam Pharmaceuticals,,,us_equity_beta
AMAT,equity,Applied Materials,,,us_equity_beta
AMCR,equity,Amcor,,,us_equity_beta
AMD,equity,Advanced Micro Devices,,,us_equity_beta
AME,equity,Ametek,,,us_equity_beta
AMGN,equity,Amgen,,,us_equity_beta
AMP,equity,Ameriprise Financial,,,us_equity_beta
AMT,equity,American Tower,,,us_equity_beta
AMZN,equity,Amazon,,,us_equity_beta
ANET,equity,Arista Networks,,,us_equity_beta
AON,equity,Aon plc,,,us_equity_beta
AOS,equity,A. O. Smith,,,us_equity_beta
APA,equity,APA Corporation,,,us_equity_beta
APD,equity,Air Products,,,us_equity_beta
APH,equity,Amphenol,,,us_equity_beta
APO,equity,Apollo Global Management,,,us_equity_beta
APP,equity,AppLovin,,,us_equity_beta
APTV,equity,Aptiv,,,us_equity_beta
ARE,equity,Alexandria Real Estate Equities,,,us_equity_beta
ARES,equity,Ares Management,,,us_equity_beta
ARM,equity,Arm Holdings,,,us_equity_beta
ASML,equity,ASML Holding,,,us_equity_beta
ATO,equity,Atmos Energy,,,us_equity_beta
AVB,equity,AvalonBay Communities,,,us_equity_beta
AVGO,equity,Broadcom,,,us_equity_beta
AVY,equity,Avery Dennison,,,us_equity_beta
AWK,equity,American Water Works,,,us_equity_beta
AXON,equity,Axon Enterprise,,,us_equity_beta
AXP,equity,American Express,,,us_equity_beta
AZO,equity,AutoZone,,,us_equity_beta
BA,equity,Boeing,,,us_equity_beta
BAC,equity,Bank of America,,,us_equity_beta
BALL,equity,Ball Corporation,,,us_equity_beta
BAX,equity,Baxter International,,,us_equity_beta
BBY,equity,Best Buy,,,us_equity_beta
BDX,equity,Becton Dickinson,,,us_equity_beta
BEN,equity,Franklin Resources,,,us_equity_beta
BF-B,equity,Brown–Forman,,,us_equity_beta
BG,equity,Bunge Global,,,us_equity_beta
BIIB,equity,Biogen,,,us_equity_beta
BKNG,equity,Booking Holdings,,,us_equity_beta
BKR,equity,Baker Hughes,,,us_equity_beta
BLDR,equity,Builders FirstSource,,,us_equity_beta
BLK,equity,BlackRock,,,us_equity_beta
BMY,equity,Bristol Myers Squibb,,,us_equity_beta
BNY,equity,BNY Mellon,,,us_equity_beta
BR,equity,Broadridge Financial Solutions,,,us_equity_beta
BRK-B,equity,Berkshire Hathaway,,,us_equity_beta
BRO,equity,Brown & Brown,,,us_equity_beta
BSX,equity,Boston Scientific,,,us_equity_beta
BX,equity,Blackstone Inc.,,,us_equity_beta
BXP,equity,"BXP, Inc.",,,us_equity_beta
C,equity,Citigroup,,,us_equity_beta
CAH,equity,Cardinal Health,,,us_equity_beta
CARR,equity,Carrier Global,,,us_equity_beta
CASY,equity,Casey's,,,us_equity_beta
CAT,equity,Caterpillar Inc.,,,us_equity_beta
CB,equity,Chubb Limited,,,us_equity_beta
CBOE,equity,Cboe Global Markets,,,us_equity_beta
CBRE,equity,CBRE Group,,,us_equity_beta
